dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
2016-04-01 14:59:23,Expert_Kasten_geschlossen,privat,Angebot,4760,test,andere,2008,manuell,98,andere,150000,3,diesel,peugeot,ja,2016-04-01 00:00:00,0,1809,2016-04-07 12:46:21
2016-04-02 10:51:44,Ford_Galaxy_2.0_TDCI_Trend_EZ_04.12_Anhaengerkupplung,privat,Angebot,16500,test,bus,2012,manuell,140,galaxy,80000,4,diesel,ford,nein,2016-04-02 00:00:00,0,59590,2016-04-04 07:50:58
2016-03-23 10:54:49,Audi_TT_Coupe_1.8_T,privat,Angebot,5300,control,coupe,1999,manuell,179,tt,125000,3,benzin,audi,nein,2016-03-23 00:00:00,0,55450,2016-04-07 11:16:02
2016-03-09 12:55:36,Citroen_C3__TÜV_neu_Benzin__109_PS_1_6i_2003_Automatik,privat,Angebot,3555,control,kleinwagen,2003,automatik,109,c3,100000,2,benzin,citroen,nein,2016-03-09 00:00:00,0,48683,2016-04-05 23:45:18
2016-03-08 19:55:51,guenstig_Fiat_uno_zum_verkaufen_Tuev_bis_11.2016,privat,Angebot,350,test,kleinwagen,1989,manuell,45,andere,150000,2,benzin,fiat,,2016-03-08 00:00:00,0,33098,2016-03-11 04:44:31
2016-03-31 23:52:32,Mercedes_Benz_Viano_2.2_CDI_kompakt_Function_DPF_Vollleder_AHK,privat,Angebot,19900,control,bus,2009,manuell,150,viano,90000,5,diesel,mercedes_benz,nein,2016-03-31 00:00:00,0,59348,2016-04-07 03:17:20
2016-03-07 21:46:03,Mercedes_Benz_S_420_CDI_DPF_7G_TRONIC,privat,Angebot,15200,control,limousine,2007,automatik,320,s_klasse,150000,7,diesel,mercedes_benz,nein,2016-03-07 00:00:00,0,29664,2016-04-06 01:45:50
2016-03-07 20:30:57,Mazda_121_mit_75_PS_TÜV_1/2018_115100_km,privat,Angebot,700,test,kleinwagen,1994,manuell,75,1_reihe,125000,3,benzin,mazda,,2016-03-07 00:00:00,0,56072,2016-03-11 00:45:42
2016-03-06 19:46:28,BMW_318_mit_TÜV,privat,Angebot,550,control,limousine,1995,manuell,130,3er,150000,5,benzin,bmw,nein,2016-03-06 00:00:00,0,73431,2016-03-08 23:17:31
2016-03-31 11:25:20,Volkswagen_Eos_2.0_TDI_DPF,privat,Angebot,8700,test,cabrio,2006,manuell,140,eos,150000,10,diesel,volkswagen,nein,2016-03-31 00:00:00,0,63263,2016-04-05 19:46:30
2016-03-15 16:46:22,Fiat_Panda_0_9_TwinAir_Turbo__86_PS___Topausstattung_Klimaautom.,privat,Angebot,6990,control,kleinwagen,2012,manuell,86,panda,50000,2,benzin,fiat,nein,2016-03-15 00:00:00,0,72793,2016-04-06 11:45:49
2016-03-15 09:54:56,Citroen_C4,privat,Angebot,5500,control,limousine,2006,manuell,90,c4,80000,5,benzin,citroen,,2016-03-15 00:00:00,0,52066,2016-03-18 03:16:45
2016-03-19 16:57:24,Hyundai_Getz_1.1,privat,Angebot,1650,test,kleinwagen,2006,manuell,63,getz,150000,3,benzin,hyundai,nein,2016-03-19 00:00:00,0,58642,2016-03-19 17:41:47
2016-03-26 13:38:11,Audi_A3_2.0_TDI__Pano,privat,Angebot,7900,control,limousine,2009,manuell,170,a3,150000,6,diesel,audi,nein,2016-03-26 00:00:00,0,32839,2016-03-29 15:45:12
2016-04-04 21:41:10,PEUGEOT_206_CC_CABRIO_TÜV08/2016_KLIMA_1.HAND_ZV_EFHB,privat,Angebot,4290,test,cabrio,2006,manuell,109,2_reihe,90000,4,benzin,peugeot,,2016-04-04 00:00:00,0,22549,2016-04-07 00:15:38
2016-03-14 01:47:28,Volkswagen_Golf_1.2_TSI_BlueM_Technology_Cup_Standhzg,privat,Angebot,14650,control,limousine,2014,manuell,86,golf,20000,12,benzin,volkswagen,nein,2016-03-13 00:00:00,0,38444,2016-04-05 01:15:23
2016-03-24 18:50:52,BMW_318i_touring,privat,Angebot,3299,test,kombi,2002,manuell,143,3er,150000,9,benzin,bmw,nein,2016-03-24 00:00:00,0,8060,2016-04-07 13:15:43
2016-03-29 17:44:47,Ford_Fiesta,privat,Angebot,6500,control,kleinwagen,2012,manuell,81,fiesta,40000,6,benzin,ford,nein,2016-03-29 00:00:00,0,12679,2016-03-31 10:45:24
2016-03-21 21:51:41,Peugeot_206_110,privat,Angebot,600,control,kleinwagen,2002,manuell,148,2_reihe,150000,11,benzin,peugeot,ja,2016-03-21 00:00:00,0,39387,2016-04-05 00:15:35
2016-03-20 20:47:52,Volkswagen_Golf_1.6_Goal,privat,Angebot,5800,test,limousine,2006,manuell,102,golf,125000,9,benzin,volkswagen,nein,2016-03-20 00:00:00,0,72074,2016-04-07 05:44:58
2016-04-03 18:06:22,Opel_Astra_G_Caravan__Edition_100__Silber_Metallic.,privat,Angebot,1600,test,kombi,1999,manuell,75,astra,150000,3,benzin,opel,nein,2016-04-03 00:00:00,0,65474,2016-04-07 02:17:02
2016-03-27 14:40:52,C_180_T_BlueEFFICIENCY_7G_TRONIC_Avantgarde,privat,Angebot,8000,control,kombi,2011,automatik,156,c_klasse,30000,8,benzin,mercedes_benz,nein,2016-03-27 00:00:00,0,10115,2016-03-27 14:40:52
2016-03-16 12:48:16,Bastlerfahrzeug_Peugeot_206,privat,Angebot,700,test,kleinwagen,2000,manuell,0,2_reihe,150000,5,benzin,peugeot,,2016-03-16 00:00:00,0,12529,2016-04-06 07:46:07
2016-03-23 15:42:44,Audi_A7_3.0_TDI_multitronic_V6,privat,Angebot,27500,test,coupe,2010,automatik,204,andere,100000,11,diesel,audi,nein,2016-03-23 00:00:00,0,49406,2016-03-23 15:42:44
2016-03-08 19:48:28,Audi_A4_Avant_2.0_TDI_DPF,privat,Angebot,6500,test,kombi,2007,manuell,170,a4,150000,12,diesel,audi,ja,2016-03-08 00:00:00,0,72186,2016-04-05 15:17:49
2016-03-29 13:53:39,Schoener_Peugeot_306_3_Hand,privat,Angebot,899,control,,2018,automatik,101,3_reihe,150000,6,,peugeot,nein,2016-03-29 00:00:00,0,34359,2016-04-05 23:47:09
2016-04-02 07:56:21,Citroën_Xsara_Picasso_1.6_HDi_Exclusive,privat,Angebot,2790,test,bus,2004,manuell,109,andere,150000,5,diesel,citroen,nein,2016-04-02 00:00:00,0,26133,2016-04-02 08:48:45
2016-03-08 16:56:07,VW_Fox_2.Hand_1.2__112820_Km_Original__Scheckheft_VW__TÜV_08/2016,privat,Angebot,2390,test,kleinwagen,2007,manuell,54,andere,125000,8,benzin,volkswagen,nein,2016-03-08 00:00:00,0,45326,2016-03-10 12:16:19
2016-03-14 20:55:56,320i_mit_Lackschaeden,privat,Angebot,9900,control,limousine,2008,automatik,170,3er,125000,11,benzin,bmw,ja,2016-03-14 00:00:00,0,46047,2016-03-22 18:16:42
2016-03-22 18:41:49,VW_Passat_Kombi_TDI_Mod._2010__Klima_Navi,privat,Angebot,6500,control,kombi,2009,manuell,140,passat,150000,11,diesel,volkswagen,,2016-03-22 00:00:00,0,58093,2016-04-06 10:16:17
2016-04-02 11:59:01,Ford_Mondeo_1.8_Turnier_Ambiente,privat,Angebot,1450,test,kombi,2001,manuell,125,mondeo,150000,10,benzin,ford,nein,2016-04-02 00:00:00,0,68647,2016-04-06 10:17:44
2016-03-09 23:52:02,Sharan_1.9tdi_2_hand_tempomat_pdc_dvd,privat,Angebot,3600,test,bus,2003,manuell,131,sharan,150000,12,diesel,volkswagen,nein,2016-03-09 00:00:00,0,50354,2016-03-11 17:15:52
2016-03-08 12:53:50,Smart_Smart_Brabus_Cabrio_Servo_Klima,privat,Angebot,2295,test,cabrio,2000,automatik,54,fortwo,100000,5,benzin,smart,nein,2016-03-08 00:00:00,0,12043,2016-03-17 23:47:35
2016-03-16 15:47:39,Bmw_530d_kombi,privat,Angebot,1699,test,kombi,1998,manuell,0,5er,150000,7,diesel,bmw,,2016-03-16 00:00:00,0,51145,2016-04-06 17:46:18
2016-03-31 07:57:54,Mercedes_A_150,privat,Angebot,4400,test,,2017,manuell,95,a_klasse,125000,0,benzin,mercedes_benz,nein,2016-03-31 00:00:00,0,42489,2016-04-06 02:17:08
2016-03-23 13:45:11,Volkswagen_Golf_2,privat,Angebot,950,test,limousine,1991,manuell,90,golf,150000,6,benzin,volkswagen,nein,2016-03-23 00:00:00,0,94121,2016-03-26 06:16:42
2016-03-06 19:48:31,Volkswagen_Polo_45,privat,Angebot,500,control,kleinwagen,1996,manuell,45,polo,150000,1,benzin,volkswagen,nein,2016-03-06 00:00:00,0,19303,2016-03-12 14:17:34
2016-04-04 14:58:49,Volkswagen_Passat_Variant_1.6,privat,Angebot,800,test,kombi,1998,manuell,101,passat,150000,3,benzin,volkswagen,nein,2016-04-04 00:00:00,0,8309,2016-04-06 17:15:28
2016-03-29 21:51:19,Nissan_Terrano_II_2.4,privat,Angebot,1250,test,suv,1998,manuell,116,andere,125000,7,benzin,nissan,nein,2016-03-29 00:00:00,0,63607,2016-04-06 08:45:21
2016-03-14 07:00:50,Mercedes_Benz_E_220_T_CDI_TÜV_neu,privat,Angebot,2700,control,,2018,automatik,0,e_klasse,150000,8,diesel,mercedes_benz,,2016-03-14 00:00:00,0,9113,2016-03-26 01:15:29
2016-03-22 12:57:23,Toyota_Avensis_1.8_VVT_i_Combi_Hagelschaden,privat,Angebot,3250,control,kombi,2006,manuell,129,avensis,125000,4,benzin,toyota,nein,2016-03-22 00:00:00,0,82494,2016-03-22 12:57:23
2016-03-26 16:39:01,Viano___Vito___chekheft___diesel___gepflegt,privat,Angebot,13500,control,bus,2007,automatik,204,viano,150000,6,diesel,mercedes_benz,nein,2016-03-26 00:00:00,0,3253,2016-03-29 18:47:25
2016-03-15 09:55:13,BMW_323i,privat,Angebot,4999,control,limousine,1999,manuell,170,3er,150000,10,benzin,bmw,nein,2016-03-15 00:00:00,0,80995,2016-04-05 18:44:30
2016-03-14 22:57:33,Volkswagen_Tiguan_Sport_&_Style_/_8_fach_bereift_/_Panorama,privat,Angebot,18300,control,suv,2013,manuell,122,tiguan,40000,1,benzin,volkswagen,nein,2016-03-14 00:00:00,0,92685,2016-04-07 05:46:14
2016-03-14 18:40:14,Schrott_Volvo_abzugeben,privat,Angebot,0,test,,2000,,0,,150000,0,,volvo,,2016-03-14 00:00:00,0,25524,2016-03-14 18:40:14
2016-04-01 09:37:51,VW_Golf_4_1_4l_2001_vollfahrbereit_mit_TÜV,privat,Angebot,1000,test,kleinwagen,2001,manuell,75,golf,150000,1,benzin,volkswagen,nein,2016-04-01 00:00:00,0,31061,2016-04-07 06:46:15
2016-03-25 22:53:44,Tausch_Toyota_Verso_7_sitze_gegen_530d__oder_535d,privat,Angebot,0,control,,2005,manuell,136,,100000,10,,toyota,,2016-03-25 00:00:00,0,86163,2016-03-26 07:44:30
2016-03-10 15:55:03,Mercedes_Benz_SL_280,privat,Angebot,36500,test,cabrio,1981,manuell,185,sl,150000,6,benzin,mercedes_benz,nein,2016-03-10 00:00:00,0,63897,2016-04-05 14:45:46
2016-03-22 11:52:30,Opel_Corsa_C_1_2_in_Top_Zustand,privat,Angebot,2700,control,kleinwagen,2003,manuell,75,corsa,125000,2,benzin,opel,nein,2016-03-22 00:00:00,0,34369,2016-04-06 00:46:36
